date,open,high,low,close,volume,Name
2013-07-26,38.456,38.5541,37.9835,38.4114,327490,AWK
2013-07-29,38.4471,38.563,38.3134,38.3847,466094,AWK
2013-07-30,38.4739,38.5541,38.0013,38.0459,748740,AWK
2013-07-31,38.1172,38.3125,37.93,38.0548,610265,AWK
2013-08-01,38.349,38.7324,38.3312,38.5987,661991,AWK
2013-08-02,38.67,38.7681,38.0905,38.456,546195,AWK
2013-08-05,38.4739,38.4739,38.0637,38.1083,742808,AWK
2013-08-06,38.0637,38.2331,37.7338,37.7784,791886,AWK
2013-08-07,37.716,38.037,37.6803,37.8765,953080,AWK
2013-08-08,37.8854,38.1975,37.5466,37.9121,847943,AWK
2013-08-09,37.9567,38.5318,37.9567,38.4917,871500,AWK
2013-08-12,38.4649,38.5452,38.0637,38.135,862536,AWK
2013-08-13,38.2064,38.3847,38.0013,38.0013,900529,AWK
2013-08-14,38.0548,38.135,37.4574,37.4931,1011526,AWK
2013-08-15,37.4751,37.529,36.8648,36.9366,700512,AWK
2013-08-16,36.8109,36.9096,36.6224,36.8378,545253,AWK
2013-08-19,36.8378,36.9096,36.5237,36.5416,727495,AWK
2013-08-20,36.5237,36.985,36.407,36.5955,558286,AWK
2013-08-21,36.5865,36.757,36.1197,36.5865,610406,AWK
2013-08-22,36.8199,37.5523,36.6403,37.3674,673549,AWK
2013-08-23,37.3674,37.6627,37.1699,37.5918,440348,AWK
2013-08-26,37.5649,37.5658,37.2417,37.2687,407948,AWK
2013-08-27,36.9814,37.4392,36.9007,37.3315,541660,AWK
2013-08-28,37.2507,37.6726,37.1431,37.4033,590194,AWK
2013-08-29,37.2687,37.3674,36.6673,36.7301,694955,AWK
2013-08-30,36.8468,36.9994,36.3172,36.5685,687397,AWK
2013-09-03,36.6134,36.8917,36.1467,36.1646,523691,AWK
2013-09-04,36.1646,36.2095,35.1683,35.6889,2183312,AWK
2013-09-05,35.6261,35.7786,35.258,35.3029,944215,AWK
2013-09-06,35.3433,35.4555,35.2491,35.258,1527979,AWK
2013-09-09,35.3388,35.4555,35.1413,35.3927,714252,AWK
2013-09-10,35.4824,35.8594,35.4376,35.8594,836657,AWK
2013-09-11,35.7697,35.8415,35.4376,35.4914,632470,AWK
2013-09-12,35.8325,35.8415,35.0516,35.2311,1277849,AWK
2013-09-13,35.276,35.3657,35.1413,35.267,901477,AWK
2013-09-16,35.276,35.5453,35.0516,35.1234,2511491,AWK
2013-09-17,35.1772,35.5004,35.0574,35.4376,980578,AWK
2013-09-18,35.4465,36.7122,35.3119,36.6403,1240298,AWK
2013-09-19,36.6763,36.9725,36.4339,36.4519,741736,AWK
2013-09-20,36.407,36.7391,35.7697,35.7966,2046637,AWK
2013-09-23,35.6171,36.3082,35.5902,36.2544,1429152,AWK
2013-09-24,36.2993,36.7032,36.2544,36.6134,688767,AWK
2013-09-25,36.5955,36.7391,36.3352,36.5685,691664,AWK
2013-09-26,36.6942,37.0622,36.6448,36.9096,643562,AWK
2013-09-27,36.757,36.8993,36.5694,36.6942,481451,AWK
2013-09-30,36.3621,37.0712,36.3621,37.0532,925441,AWK
2013-10-01,36.775,37.3943,36.775,37.1879,1341446,AWK
2013-10-02,37.0263,37.2866,36.8019,37.2777,663768,AWK
2013-10-03,37.0532,37.1699,36.5326,36.5775,796248,AWK
2013-10-04,36.6224,36.6942,36.3621,36.4249,476850,AWK
2013-10-07,36.2634,36.4608,36.0659,36.0659,385431,AWK
2013-10-08,36.2454,36.5057,35.9851,35.9851,741221,AWK
2013-10-09,35.9671,36.6044,35.9492,36.3621,784566,AWK
2013-10-10,36.4429,37.1699,36.3621,37.0532,762431,AWK
2013-10-11,37.0443,37.1879,36.8648,37.152,472953,AWK
2013-10-14,37.0712,37.1519,36.3262,36.8109,381482,AWK
2013-10-15,36.7929,36.8019,36.3082,36.3262,692226,AWK
2013-10-16,36.4608,36.8199,36.3531,36.6673,869139,AWK
2013-10-17,36.6224,37.511,36.4249,37.511,826468,AWK
2013-10-18,37.6546,37.6995,37.3764,37.4572,679418,AWK
2013-10-21,37.5021,37.7893,37.4303,37.7624,570234,AWK
2013-10-22,38.0047,38.4804,37.7085,37.9778,1020220,AWK
2013-10-23,37.8072,38.2381,37.7624,38.0586,595947,AWK
2013-10-24,38.0765,38.2291,37.6636,37.7175,598225,AWK
2013-10-25,37.8162,38.2381,37.6008,38.2022,561724,AWK
2013-10-28,38.2022,38.3458,37.906,38.1663,470717,AWK
2013-10-29,38.2112,38.4266,38.1214,38.3638,402300,AWK
2013-10-30,38.4176,38.651,38.2113,38.4356,539991,AWK
2013-10-31,38.3727,38.5523,38.0047,38.4804,830202,AWK
2013-11-01,38.5971,38.7318,38.2022,38.3817,432862,AWK
2013-11-04,38.3727,38.6869,38.2471,38.6061,369564,AWK
2013-11-05,38.5433,40.4731,38.5343,38.8305,752064,AWK
2013-11-06,38.9921,39.0818,38.7497,39.037,708482,AWK
2013-11-07,39.1088,39.9346,38.6779,38.9023,729179,AWK
2013-11-08,38.7767,38.7767,37.8521,38.3727,597635,AWK
2013-11-11,38.3727,38.8664,38.1483,38.642,405142,AWK
2013-11-12,38.4984,38.4984,38.0765,38.3009,752628,AWK
2013-11-13,38.1383,38.4364,38.0028,38.319,676789,AWK
2013-11-14,38.4365,38.7527,38.4365,38.7346,558574,AWK
