date,open,high,low,close,volume,Name
2013-07-26,37.4822,38.1528,37.1493,37.771,4758608,COG
2013-07-29,37.9276,37.9276,37.3109,37.4675,2837648,COG
2013-07-30,37.1934,37.629,36.9486,37.5556,3076830,COG
2013-07-31,37.7318,38.0686,37.071,37.115,5089868,COG
2013-08-01,37.6339,37.9962,37.3451,37.913,4103848,COG
2013-08-02,37.8689,37.9374,37.4625,37.7905,3516164,COG
2013-08-05,37.7416,37.9325,37.345,37.8199,1935104,COG
2013-08-06,37.7269,38.0892,37.3205,37.9864,3257924,COG
2013-08-07,37.7807,37.9276,36.8504,37.061,3538428,COG
2013-08-08,37.2275,37.3841,36.3559,37.0659,3156888,COG
2013-08-09,37.0414,37.296,36.9239,37.2128,3058084,COG
2013-08-12,37.1589,37.3988,36.7231,36.9679,2458698,COG
2013-08-13,36.8945,36.9484,36.4886,36.8357,2577238,COG
2013-08-14,36.9288,37.012,36.6056,36.6154,2456630,COG
2013-08-15,36.2041,37.0267,35.734,36.9484,2464019,COG
2013-08-16,36.7721,36.9288,36.2139,36.3608,2735983,COG
2013-08-19,36.4587,36.9092,35.8809,35.9593,2309724,COG
2013-08-20,36.2335,37.0434,35.9887,36.7819,2803649,COG
2013-08-21,36.8406,37.1638,36.4881,36.6448,2409552,COG
2013-08-22,36.8994,38.1866,36.7819,38.0745,3041945,COG
2013-08-23,37.9276,38.192,37.6045,38.0452,2655168,COG
2013-08-26,38.192,38.6327,37.9913,38.0354,1998001,COG
2013-08-27,37.6436,38.5838,37.4674,37.9472,3145282,COG
2013-08-28,37.9374,39.1419,37.7514,38.6425,3284844,COG
2013-08-29,38.7013,38.7404,38.192,38.5838,2724753,COG
2013-08-30,38.5348,38.7404,38.1529,38.3194,2776745,COG
2013-09-03,38.9461,39.5043,38.9461,39.1028,3568721,COG
2013-09-04,38.8971,39.1614,38.1431,38.6131,3500691,COG
2013-09-05,38.8286,38.9363,37.5653,37.6534,5122474,COG
2013-09-06,37.7024,38.29,37.2911,37.9374,3448443,COG
2013-09-09,38.1725,38.29,37.6045,38.192,3173670,COG
2013-09-10,38.192,38.2116,36.9679,37.8199,6119988,COG
2013-09-11,37.957,38.1235,36.9875,38.0745,7252306,COG
2013-09-12,38.1039,38.1235,37.0561,37.2519,5858655,COG
2013-09-13,37.2519,37.3694,36.6448,36.7427,5029582,COG
2013-09-16,37.1638,37.3107,36.7623,36.821,4099505,COG
2013-09-17,36.9581,37.6926,36.8798,37.4184,2926926,COG
2013-09-18,37.2813,37.8199,36.8994,37.5849,4091402,COG
2013-09-19,37.673,37.9521,37.0267,37.2813,3780685,COG
2013-09-20,37.2813,37.5974,36.7917,36.9288,3831711,COG
2013-09-23,36.7329,36.7917,36.2433,36.4783,3745064,COG
2013-09-24,36.4979,36.7035,35.8711,35.9691,9994024,COG
2013-09-25,35.8613,36.067,34.6177,34.8331,13798277,COG
2013-09-26,35.6753,36.6986,35.5382,36.351,13128166,COG
2013-09-27,36.2433,36.5273,36.1062,36.3412,4388955,COG
2013-09-30,35.9103,36.6839,35.7732,36.5468,6115441,COG
2013-10-01,36.5468,36.8015,36.1551,36.3314,6413951,COG
2013-10-02,35.8907,36.0964,35.1759,35.4305,5968014,COG
2013-10-03,35.2934,35.5578,34.8282,34.9506,4487675,COG
2013-10-04,35.0192,35.8565,34.9114,35.5676,3459647,COG
2013-10-07,35.1073,35.5529,34.9604,35.0779,3039266,COG
2013-10-08,35.1073,35.3472,34.3043,34.363,4647859,COG
2013-10-09,34.363,35.0192,33.9517,34.696,6114986,COG
2013-10-10,35.4403,36.067,34.696,35.4696,7299956,COG
2013-10-11,35.3325,36.253,35.2052,35.9887,4236027,COG
2013-10-14,35.6067,36.2139,35.548,36.018,2955671,COG
2013-10-15,35.9005,36.3118,35.3913,35.6165,3525399,COG
2013-10-16,35.9691,36.821,35.8907,36.6937,4150796,COG
2013-10-17,36.7721,36.7721,35.4598,35.5872,4284040,COG
2013-10-18,35.8613,35.9103,34.8331,35.3717,5316731,COG
2013-10-21,35.499,35.9005,35.073,35.313,4865763,COG
2013-10-22,35.4305,35.7145,34.8625,35.1269,4717061,COG
2013-10-23,34.9408,35.0485,34.0301,34.0693,5381253,COG
2013-10-24,34.1182,34.5393,33.6971,34.1182,7636059,COG
2013-10-25,35.2052,36.3216,34.7646,36.2139,10416748,COG
2013-10-28,36.2726,36.3471,35.6753,36.116,4991535,COG
2013-10-29,36.3118,36.5175,35.7732,35.8516,3729958,COG
2013-10-30,35.7145,35.9103,34.1868,34.696,6765101,COG
2013-10-31,34.696,34.7646,33.9615,34.5883,6198643,COG
2013-11-01,34.5099,34.6372,33.893,34.3141,5647955,COG
2013-11-04,34.4904,34.6372,33.9909,34.3826,3204090,COG
2013-11-05,34.1573,34.5884,33.9319,34.2161,4681533,COG
2013-11-06,34.2945,34.4904,33.0109,33.2068,7563996,COG
2013-11-07,33.3146,33.3146,31.1492,31.9722,11817350,COG
2013-11-08,32.0702,32.9325,31.9428,32.9227,6950799,COG
2013-11-11,32.9815,33.1213,32.423,32.8443,4283701,COG
2013-11-12,32.9227,33.6527,32.7512,32.8345,5991984,COG
2013-11-13,32.6189,33.5792,32.5896,33.197,4791912,COG
2013-11-14,32.9815,33.1187,32.2956,32.4916,9553062,COG
2013-11-15,32.6189,32.7953,32.227,32.6581,4362589,COG
2013-11-18,32.9227,32.9521,32.0751,32.2074,5985713,COG
2013-11-19,32.1094,32.6728,31.9624,32.423,3896881,COG
2013-11-20,33.2656,33.9515,33.0207,33.393,8046860,COG
2013-11-21,33.638,34.5786,33.5498,34.0397,5611157,COG
2013-11-22,34.1867,34.4414,33.638,34.4316,4570160,COG
2013-11-25,34.5688,34.5688,33.8045,34.0985,4211354,COG
2013-11-26,33.9809,34.2945,33.4518,33.7164,6885972,COG
2013-11-27,33.5792,33.8437,33.3391,33.7849,3868563,COG
2013-11-29,33.7751,33.9319,33.2558,33.7555,1982514,COG
2013-12-02,33.8731,34.2945,33.4714,33.9809,4347435,COG
2013-12-03,33.8045,34.1965,33.5292,33.8437,4897157,COG
2013-12-04,33.7849,33.9515,33.5106,33.7262,4075498,COG
2013-12-05,33.442,35.1665,33.3146,35.1469,6649822,COG
2013-12-06,35.5291,35.9602,34.3337,34.4904,5392392,COG
2013-12-09,35.8034,36.1366,34.9706,36.0778,7524151,COG
2013-12-10,36.1562,36.7833,35.6074,35.627,6041416,COG
2013-12-11,35.5389,35.6956,34.7844,35.0097,5322293,COG
2013-12-12,35.0881,35.9798,35.0685,35.8328,5889062,COG
2013-12-13,35.7544,35.8524,35.1469,35.3919,5788855,COG
2013-12-16,35.4606,35.6506,34.8334,35.0979,6734871,COG
2013-12-17,35.0489,35.4703,34.6864,35.0979,4974578,COG
2013-12-18,35.3135,35.7054,34.7844,35.676,5384249,COG
2013-12-19,36.4011,37.5965,36.2933,37.5377,8211829,COG
2013-12-20,37.8219,38.0864,37.5475,37.6553,6809285,COG
2013-12-23,37.7631,38.498,37.6945,37.7925,3758163,COG
2013-12-24,37.7827,38.1648,37.6749,38.1452,1306219,COG
2013-12-26,38.1844,38.1844,37.6357,37.7827,3267446,COG
2013-12-27,37.7827,38.0277,37.4006,37.9493,2508999,COG
2013-12-30,38.2334,38.5568,37.6994,37.9395,3145538,COG
2013-12-31,37.8905,38.155,37.5083,37.9787,2994082,COG
2014-01-02,37.7925,38.5078,37.2144,37.4006,4825062,COG
2014-01-03,37.4006,37.7631,36.8714,37.185,3461493,COG
2014-01-06,37.381,37.5867,37.0478,37.43,3309550,COG
2014-01-07,37.6259,38.4392,37.5769,38.0864,4849880,COG
2014-01-08,37.9493,38.5421,37.8072,37.9689,4965091,COG
2014-01-09,38.1452,38.1942,36.1464,36.6853,7409056,COG
2014-01-10,36.6755,37.0931,36.5089,36.7441,3466773,COG
2014-01-13,36.8127,37.0184,35.6466,35.7054,5793101,COG
2014-01-14,35.8132,36.6363,35.8132,36.6069,6762486,COG
2014-01-15,36.6363,37.0821,36.5089,36.8616,3908612,COG
2014-01-16,37.1066,37.4985,36.5579,37.3908,4536353,COG
2014-01-17,37.5084,37.6063,36.6755,36.7245,3797509,COG
2014-01-21,37.185,38.3412,37.0576,38.302,6049246,COG
2014-01-22,38.7919,39.8012,38.7723,39.1055,7168092,COG
2014-01-23,39.2525,39.6248,38.8801,39.0075,6241547,COG
2014-01-24,38.7821,39.2133,38.645,38.7527,7016235,COG
2014-01-27,38.7527,38.7723,37.7141,38.2824,3973876,COG
2014-01-28,38.7429,39.8012,38.7429,39.5758,6614000,COG
2014-01-29,38.8406,40.1346,38.4876,39.6934,6470033,COG
2014-01-30,39.7621,39.7915,38.8896,38.9386,4543612,COG
2014-01-31,38.5955,39.5856,38.468,39.1935,4302961,COG
2014-02-03,39.7523,39.9483,38.6347,38.6837,5629548,COG
2014-02-04,39.3307,40.9581,39.3307,40.7914,8105549,COG
2014-02-05,40.9089,40.9581,39.5366,39.6248,5773128,COG
2014-02-06,39.713,40.115,39.3797,39.468,6878166,COG
2014-02-07,39.5072,39.6934,38.0367,38.5465,8485598,COG
2014-02-10,38.3602,38.4288,37.4387,37.9485,7631224,COG
2014-02-11,38.0563,38.6053,37.9828,38.4778,5497996,COG
2014-02-12,38.6935,38.8406,37.8308,37.8504,4976395,COG
2014-02-13,37.6053,38.3994,37.2916,38.0661,9861959,COG
2014-02-14,38.1445,38.3112,37.3014,38.0955,6105962,COG
2014-02-18,38.6641,39.1641,38.5465,38.8798,5652768,COG
2014-02-19,38.7719,40.1738,38.7719,39.2817,8361457,COG
2014-02-20,39.3111,39.5268,37.772,38.5072,12104708,COG
2014-02-21,37.3897,38.5072,34.88,35.3604,23871959,COG
2014-02-24,35.3408,35.6153,34.684,34.9487,14665703,COG
2014-02-25,34.8898,35.0467,34.4193,34.831,11773916,COG
2014-02-26,34.733,34.9291,34.5173,34.6742,8983635,COG
2014-02-27,34.7624,35.2722,34.635,34.684,6431543,COG
2014-02-28,34.733,34.9487,34.0173,34.3114,9608175,COG
2014-03-03,34.1938,34.635,33.9879,34.0566,6618199,COG
2014-03-04,34.3409,34.4683,33.8801,34.1252,5428092,COG
2014-03-05,34.037,34.2134,33.7429,33.8703,5762434,COG
2014-03-06,34.3114,34.3899,34.0664,34.282,6977381,COG
2014-03-07,34.635,34.7722,34.3212,34.4193,7381946,COG
2014-03-10,34.3114,34.5957,33.9585,34.5565,4909841,COG
2014-03-11,34.5369,35.2428,34.3409,34.5663,10706443,COG
2014-03-12,34.3114,34.8555,34.0762,34.4095,5031084,COG
2014-03-13,34.3997,34.5467,33.9634,33.9781,4981305,COG
2014-03-14,33.9389,34.0272,33.0076,33.2919,9810151,COG
2014-03-17,33.4586,33.4586,32.5763,32.7331,9220960,COG
2014-03-18,32.6253,32.9488,32.439,32.9096,6797972,COG
2014-03-19,32.9586,33.0958,32.6645,32.8017,5347524,COG
2014-03-20,32.7233,32.9586,32.4488,32.5076,8603195,COG
2014-03-21,32.6645,32.841,32.243,32.3116,9005351,COG
2014-03-24,32.2332,32.39,31.6621,32.0077,7197136,COG
2014-03-25,32.2037,32.5861,31.4783,31.9783,12819547,COG
2014-03-26,31.9979,32.2626,31.2332,31.6057,10008578,COG
2014-03-27,31.6744,32.9684,31.6401,32.7919,10248745,COG
2014-03-28,32.9782,33.3801,32.6939,33.1743,7890134,COG
2014-03-31,33.1351,33.4488,33.0468,33.2135,5245008,COG
2014-04-01,33.4095,33.6522,33.086,33.6056,7180455,COG
2014-04-02,33.6252,34.3899,33.6154,34.2428,6734344,COG
2014-04-03,34.4095,34.9389,34.2379,34.7918,7207934,COG
2014-04-04,35.0075,35.0369,33.8213,33.8899,8711823,COG
2014-04-07,33.8213,33.9389,33.0566,33.3507,5608065,COG
