date,open,high,low,close,volume,Name
2013-07-26,50.6436,51.0532,50.5582,51.0276,2029104,EMR
2013-07-29,50.8654,51.3092,50.8569,51.0105,1705983,EMR
2013-07-30,51.3092,51.6675,51.2409,51.6163,2965995,EMR
2013-07-31,51.7358,52.7427,51.6334,52.3672,4970648,EMR
2013-08-01,52.8878,53.5021,52.7171,53.3741,4020884,EMR
2013-08-02,53.0414,53.3741,52.7342,53.3741,3789011,EMR
2013-08-05,53.1779,53.4811,53.0584,53.195,2864377,EMR
2013-08-06,52.683,53.3571,52.3075,53.2376,3679506,EMR
2013-08-07,53.1352,53.2376,52.2222,52.5976,3835406,EMR
2013-08-08,52.8963,53.3827,52.8536,53.1694,3409886,EMR
2013-08-09,53.1267,53.3144,52.555,52.8195,3378321,EMR
2013-08-12,52.5208,53.468,52.5208,53.3315,3645009,EMR
2013-08-13,53.3656,53.6813,53.0072,53.2547,2495599,EMR
2013-08-14,53.1859,53.5811,53.1859,53.3148,3142773,EMR
2013-08-15,52.7908,52.9197,52.0435,52.2926,3308912,EMR
2013-08-16,52.1123,52.8338,52.0865,52.6276,2731653,EMR
2013-08-19,52.5761,52.7737,52.3871,52.4988,1982452,EMR
2013-08-20,52.5417,53.0915,52.2325,52.8767,2478643,EMR
2013-08-21,52.4902,52.9884,52.2325,52.2926,3309772,EMR
2013-08-22,52.5503,53.5295,52.4301,53.2804,2729770,EMR
2013-08-23,53.3749,53.4265,52.9626,53.2203,1819312,EMR
2013-08-26,53.3062,53.5896,52.9369,53.0399,1730734,EMR
2013-08-27,52.4387,52.5589,51.9662,52.035,2883636,EMR
2013-08-28,52.0178,52.4858,51.9233,51.9577,2638315,EMR
2013-08-29,51.8202,52.4644,51.6828,52.0607,1636374,EMR
2013-08-30,52.327,52.327,51.657,51.8546,2442800,EMR
2013-09-03,52.4473,52.9369,51.9491,52.138,3282651,EMR
2013-09-04,52.1037,52.9111,52.0178,52.6792,3794539,EMR
2013-09-05,52.6448,53.295,52.4558,52.9712,2775840,EMR
2013-09-06,53.2117,53.4685,52.4644,52.7994,3973629,EMR
2013-09-09,52.9626,53.9161,52.954,53.6841,2910499,EMR
2013-09-10,54.1995,54.8265,54.1308,54.6805,3719896,EMR
2013-09-11,54.6633,54.8867,54.2596,54.6204,2479445,EMR
2013-09-12,54.5345,55.0842,54.4572,54.6376,2354167,EMR
2013-09-13,54.6977,55.1916,54.6032,55.0069,3039000,EMR
2013-09-16,55.6597,55.8315,55.3247,55.4278,2818131,EMR
2013-09-17,55.445,55.8057,55.2302,55.737,2315631,EMR
2013-09-18,55.5738,56.6303,55.4836,56.4242,2904078,EMR
2013-09-19,56.5874,57.369,56.5874,57.1199,3184357,EMR
2013-09-20,57.0856,57.1199,55.7628,55.7628,5801578,EMR
2013-09-23,55.6425,56.3125,55.6425,55.7971,3209476,EMR
2013-09-24,55.8315,56.3469,55.7456,55.7971,3900384,EMR
2013-09-25,56.0205,56.145,55.7112,55.7112,3056654,EMR
2013-09-26,55.78,56.2266,55.7628,56.1923,2511751,EMR
2013-09-27,55.9432,55.9861,55.6082,55.7456,3463609,EMR
2013-09-30,55.2045,55.8229,55.1014,55.5738,3321298,EMR
2013-10-01,55.591,56.1923,55.402,55.8916,3002731,EMR
2013-10-02,55.548,55.8057,55.11,55.3419,4068656,EMR
2013-10-03,55.2045,55.3668,54.2424,54.7406,3682318,EMR
2013-10-04,54.7922,55.0928,54.5603,54.9468,2725613,EMR
2013-10-07,54.3885,55.1959,54.3112,54.732,1968853,EMR
2013-10-08,54.7149,54.921,54.0535,54.0964,3258714,EMR
2013-10-09,54.0964,54.5688,53.8817,54.2682,3478026,EMR
2013-10-10,54.8008,55.8573,54.7406,55.8143,3553107,EMR
2013-10-11,55.7027,56.2008,55.6254,56.1321,2068867,EMR
2013-10-14,55.7971,56.3855,55.7542,56.3469,1762323,EMR
2013-10-15,56.0119,56.1493,55.6082,55.6339,3422559,EMR
2013-10-16,56.0033,56.1819,55.5566,55.6082,2886481,EMR
2013-10-17,55.4278,56.0892,55.4278,56.0119,3031713,EMR
2013-10-18,56.1235,56.4843,55.883,56.3812,4670726,EMR
2013-10-21,56.3898,56.8536,56.261,56.6389,2355728,EMR
2013-10-22,56.8794,57.5494,56.8021,57.034,2304882,EMR
2013-10-23,56.9567,57.1629,56.6389,57.0941,2740529,EMR
2013-10-24,57.0684,57.3776,57.0168,57.1457,2036530,EMR
2013-10-25,57.3261,57.7384,57.0254,57.7384,2416437,EMR
2013-10-28,57.7212,57.7641,57.369,57.6525,1913960,EMR
2013-10-29,57.7727,57.8844,57.3003,57.8844,2186230,EMR
2013-10-30,57.8844,57.9359,57.3604,57.4635,2410894,EMR
2013-10-31,57.4635,57.9703,57.2144,57.5236,2450534,EMR
2013-11-01,57.7813,57.8672,57.1629,57.5752,3177713,EMR
2013-11-04,57.9445,58.039,57.704,57.8672,2319634,EMR
2013-11-05,57.0512,57.8414,56.742,57.4205,3188260,EMR
2013-11-06,57.7555,57.9789,57.2402,57.9016,2758227,EMR
2013-11-07,57.7298,57.9359,56.553,56.7334,5119629,EMR
2013-11-08,56.699,57.5838,56.6819,57.5236,2727463,EMR
2013-11-11,57.4549,57.6353,57.3089,57.5064,2012991,EMR
2013-11-12,57.2917,57.515,56.8622,56.9481,3072420,EMR
2013-11-13,56.6023,57.8041,56.6023,57.7954,2468864,EMR
2013-11-14,57.83,58.3487,57.7781,58.1066,3323174,EMR
2013-11-15,59.0058,59.1701,58.3141,58.7637,3750841,EMR
2013-11-18,58.8847,59.0231,58.3055,58.4352,2432803,EMR
2013-11-19,58.4352,58.6599,58.1153,58.2363,2080125,EMR
2013-11-20,58.6081,58.7205,57.8257,58.0029,2184544,EMR
2013-11-21,58.1499,58.5994,58.0894,58.5476,2121184,EMR
2013-11-22,58.66,58.8329,58.3314,58.7896,1905406,EMR
2013-11-25,58.9971,58.9971,57.7781,57.9251,3607914,EMR
2013-11-26,57.9337,58.4914,57.9337,58.1326,2012834,EMR
2013-11-27,58.2363,58.4611,58.1499,58.3747,1317962,EMR
2013-11-29,58.5303,58.5908,57.8819,57.9164,1077390,EMR
2013-12-02,57.9164,58.219,57.6571,57.7176,2405972,EMR
2013-12-03,57.6225,57.951,57.3026,57.6657,3490105,EMR
2013-12-04,57.3545,57.9683,57.0346,57.4582,2060053,EMR
2013-12-05,57.3458,57.6268,57.0692,57.4496,2167445,EMR
2013-12-06,57.6398,58.1931,57.5015,58.0807,3023543,EMR
2013-12-09,58.1758,58.5545,58.1153,58.4784,2005177,EMR
2013-12-10,58.366,58.7032,58.1845,58.392,2310149,EMR
2013-12-11,58.2882,58.3833,57.2464,57.4064,2956641,EMR
2013-12-12,57.3113,57.8041,57.2075,57.5879,2445501,EMR
2013-12-13,57.6398,57.7695,57.1038,57.2334,2687421,EMR
2013-12-16,57.5188,58.2363,57.2594,57.83,3894443,EMR
2013-12-17,57.83,58.1153,57.4237,57.4582,2785670,EMR
2013-12-18,57.6917,58.7637,57.0519,58.7464,2749551,EMR
2013-12-19,58.7637,59.4813,58.4957,59.3603,3430782,EMR
2013-12-20,59.3862,60.1306,59.3862,59.9481,5507565,EMR
2013-12-23,60.1384,60.2594,59.8012,59.9741,1728897,EMR
2013-12-24,60.0692,60.3804,59.8963,60.3113,841141,EMR
2013-12-26,60.4496,60.7522,60.2767,60.6052,1276261,EMR
2013-12-27,60.709,60.9251,60.5274,60.7003,974369,EMR
2013-12-30,60.6917,61.0894,60.5836,60.7435,1143377,EMR
2013-12-31,60.7781,60.9078,60.4755,60.6744,1665767,EMR
2014-01-02,60.3718,60.5447,59.7412,59.9136,1803110,EMR
2014-01-03,60.1902,60.4323,59.8617,59.9741,1634150,EMR
2014-01-06,60.3286,60.415,59.3516,59.5245,2492072,EMR
2014-01-07,59.6628,59.7666,59.1787,59.5677,3025885,EMR
2014-01-08,59.5332,59.6456,59.0058,59.2652,2755910,EMR
2014-01-09,59.5591,60.294,58.8026,59.0231,3431591,EMR
2014-01-10,59.2479,59.5764,58.7205,59.2652,3569717,EMR
2014-01-13,59.1528,59.9006,58.7291,58.8329,3519592,EMR
2014-01-14,59.1009,59.853,58.8847,59.8358,2780776,EMR
2014-01-15,59.8617,60.5101,59.8271,60.3286,2088225,EMR
2014-01-16,60.2594,60.7695,60.1211,60.4755,2068720,EMR
2014-01-17,60.2853,60.536,59.6196,59.7579,3596547,EMR
