date,open,high,low,close,volume,Name
2013-07-26,54.7594,55.1739,53.2986,53.8415,2432428,FTI
2013-07-29,53.802,53.9994,52.5485,52.7064,2696851,FTI
2013-07-30,52.8446,52.9926,52.4004,52.7755,1533166,FTI
2013-07-31,53.1802,53.269,52.43,52.6077,1582619,FTI
2013-08-01,53.2986,54.4732,53.1999,54.2067,1706955,FTI
2013-08-02,54.2363,54.5176,53.575,54.3942,1046668,FTI
2013-08-05,54.2264,54.3843,53.6342,53.9303,1300941,FTI
2013-08-06,53.7329,53.9994,52.8051,52.9334,1435369,FTI
2013-08-07,52.815,52.9433,52.3215,52.8742,1082327,FTI
2013-08-08,53.1802,53.3973,52.7163,53.2295,916605,FTI
2013-08-09,53.1308,53.5059,52.8446,53.2295,1723124,FTI
2013-08-12,52.8545,53.5158,52.7459,53.3677,850345,FTI
2013-08-13,53.4072,53.8908,53.0321,53.6539,971586,FTI
2013-08-14,53.7526,53.8711,53.0815,53.1012,644556,FTI
2013-08-15,52.0254,52.6669,52.0254,52.5287,938792,FTI
2013-08-16,52.2326,52.736,52.0747,52.5584,1185422,FTI
2013-08-19,52.5386,52.6077,51.601,51.6997,1085464,FTI
2013-08-20,51.7095,52.6077,51.5319,52.282,841682,FTI
2013-08-21,51.9859,52.4547,51.7885,51.9661,1202222,FTI
2013-08-22,52.2228,54.562,51.9958,54.0093,1345264,FTI
2013-08-23,54.868,54.868,53.6441,54.3942,1084621,FTI
2013-08-26,54.7298,54.9173,53.9204,54.029,764785,FTI
2013-08-27,53.3381,54.2856,53.269,53.5947,960863,FTI
2013-08-28,53.5947,54.4435,53.4022,54.0191,1306620,FTI
2013-08-29,53.7526,53.8316,52.9334,53.0913,1140886,FTI
2013-08-30,53.2098,53.2246,52.588,52.9334,1117461,FTI
2013-09-03,53.6441,54.0882,53.042,53.5848,1245800,FTI
2013-09-04,53.5454,54.5521,53.3381,54.1968,1061809,FTI
2013-09-05,54.1672,55.0358,54.1474,54.3646,880832,FTI
2013-09-06,54.71,54.7693,53.6441,53.9994,1375493,FTI
2013-09-09,54.4337,54.9469,53.9204,54.4238,1062149,FTI
