date,open,high,low,close,volume,Name
2013-07-26,40.936,41.2681,40.8748,41.1457,612683,HAS
2013-07-29,41.0059,41.2943,40.87,41.2069,1646111,HAS
2013-07-30,41.3039,41.4008,40.6076,40.8984,1255425,HAS
2013-07-31,41.0923,41.1012,40.5018,40.5459,805791,HAS
2013-08-01,40.6164,41.4802,40.5459,41.392,1585003,HAS
2013-08-02,41.4008,41.5727,41.2069,41.4185,875556,HAS
2013-08-05,41.251,41.4361,41.1717,41.251,616243,HAS
2013-08-06,41.1452,41.3127,40.5106,40.775,1218504,HAS
2013-08-07,40.5635,40.7398,40.2902,40.4842,711679,HAS
2013-08-08,40.7574,40.9028,40.6076,40.8367,630601,HAS
2013-08-09,40.8191,40.85,40.4225,40.5106,1036181,HAS
2013-08-12,40.1757,40.731,39.779,39.9729,2554940,HAS
2013-08-13,40.7662,40.7662,39.8055,40.2726,814090,HAS
2013-08-14,40.2021,40.3696,39.9289,40.0611,477085,HAS
2013-08-15,39.8495,39.9553,39.4529,39.6997,690017,HAS
2013-08-16,39.7526,39.8936,39.4881,39.5719,1314903,HAS
2013-08-19,39.6027,39.9112,39.4264,39.5675,1118337,HAS
2013-08-20,39.5498,39.8936,39.5498,39.7349,672607,HAS
2013-08-21,39.6027,39.779,39.4353,39.4529,685817,HAS
2013-08-22,39.5498,40.1933,39.3912,39.8936,450215,HAS
2013-08-23,40.0346,40.6781,39.757,40.6428,828037,HAS
2013-08-26,41.965,41.965,40.8015,40.8896,1529833,HAS
2013-08-27,40.6076,40.6869,40.1404,40.158,794497,HAS
2013-08-28,40.158,40.2991,39.9553,40.2285,681660,HAS
2013-08-29,40.0434,40.4886,40.017,40.2197,948408,HAS
2013-08-30,40.2726,40.2991,39.7975,40.1757,1036214,HAS
2013-09-03,40.537,40.8367,40.3167,40.7927,1253120,HAS
2013-09-04,40.8191,41.2686,40.7133,41.1893,1489330,HAS
2013-09-05,41.3039,41.9473,41.1893,41.9209,1634380,HAS
2013-09-06,41.868,42.7847,41.7358,42.2999,1609277,HAS
2013-09-09,42.2735,42.5203,42.2646,42.4497,1364270,HAS
2013-09-10,42.5203,42.8949,41.3568,41.5771,2604763,HAS
2013-09-11,41.4714,41.8327,41.4185,41.5683,1179350,HAS
2013-09-12,41.4625,41.5666,40.9469,40.983,1327994,HAS
2013-09-13,41.0659,41.3303,40.7486,41.2686,1100602,HAS
2013-09-16,41.7799,42.0002,41.5242,41.771,864917,HAS
2013-09-17,41.771,42.247,41.771,42.0972,684372,HAS
2013-09-18,42.1148,43.0139,41.9209,42.8993,2841165,HAS
2013-09-19,42.9522,43.5868,42.9081,43.4546,957063,HAS
2013-09-20,43.4546,43.8512,42.9698,43.0051,1529845,HAS
2013-09-23,43.0403,43.1108,42.4409,42.7671,1397540,HAS
