date,open,high,low,close,volume,Name
2013-07-26,40.2815,40.433,40.0428,40.3733,5130770,LOW
2013-07-29,40.355,40.4835,39.8316,39.8867,6020702,LOW
2013-07-30,40.208,40.6855,40.208,40.4376,7083420,LOW
2013-07-31,40.41,41.3466,40.4009,40.9334,6857917,LOW
2013-08-01,41.264,41.4935,41.0987,41.3558,5820117,LOW
2013-08-02,41.2915,41.567,41.0344,41.3099,6748556,LOW
2013-08-05,41.1446,41.769,41.1079,41.7506,4488334,LOW
2013-08-06,41.6588,41.7414,41.0344,41.1997,7986670,LOW
2013-08-07,41.0895,41.1446,40.557,40.6763,6507880,LOW
2013-08-08,41.567,42.4668,41.5027,42.3842,11217174,LOW
2013-08-09,42.2648,42.274,41.8103,41.9434,6613830,LOW
2013-08-12,41.8608,42.4668,41.8608,42.0536,5075216,LOW
2013-08-13,42.0353,42.4485,41.6496,42.3566,5708356,LOW
2013-08-14,42.3383,42.375,41.2823,41.3191,8957570,LOW
2013-08-15,40.8232,40.9151,40.1805,40.2631,8911936,LOW
2013-08-16,40.2723,40.9885,40.208,40.3641,8342129,LOW
2013-08-19,40.4651,40.5753,39.9887,40.0979,6126135,LOW
2013-08-20,40.7498,40.8783,39.9601,40.4743,10290398,LOW
2013-08-21,41.8792,43.385,41.7965,42.0628,30110992,LOW
2013-08-22,42.2097,43.6237,42.1638,43.5136,10274382,LOW
2013-08-23,43.3758,43.6146,42.7606,43.1371,8126850,LOW
2013-08-26,43.1646,43.5595,42.9994,43.1463,6083160,LOW
2013-08-27,42.5954,42.88,42.1914,42.2373,7315931,LOW
2013-08-28,42.1271,42.8525,42.1087,42.5862,7153850,LOW
2013-08-29,42.4944,42.9443,42.2373,42.6229,4470622,LOW
2013-08-30,42.6964,42.8047,41.9113,42.072,5613560,LOW
2013-09-03,42.4668,42.6872,41.4752,41.8792,7003364,LOW
2013-09-04,41.9802,42.2556,41.8975,42.2097,5468515,LOW
2013-09-05,42.1271,42.4393,42.0353,42.1087,4557979,LOW
2013-09-06,42.3015,42.4209,41.5486,41.87,5596102,LOW
2013-09-09,42.072,42.9764,42.0536,42.8157,5714207,LOW
