date,open,high,low,close,volume,Name
2013-07-26,34.4342,34.6883,34.1538,34.4254,2425178,MCHP
2013-07-29,34.2502,34.5393,34.202,34.3553,1666013,MCHP
2013-07-30,34.4517,34.5568,34.2852,34.3904,2181375,MCHP
2013-07-31,34.478,34.9424,34.3685,34.8197,3102794,MCHP
2013-08-01,35.9237,36.6071,35.5907,36.5283,3805595,MCHP
2013-08-02,36.1077,36.3443,35.9587,36.3443,3021789,MCHP
2013-08-05,36.169,36.537,36.169,36.5195,1589270,MCHP
2013-08-06,36.3618,36.5195,36.042,36.1953,1364865,MCHP
2013-08-07,36.169,36.1778,35.7923,35.9324,1357760,MCHP
2013-08-08,36.2128,36.2479,35.7747,35.7923,1565381,MCHP
2013-08-09,35.7835,35.9324,35.4856,35.582,1022741,MCHP
2013-08-12,35.4856,35.8799,35.4856,35.7134,1290812,MCHP
2013-08-13,35.8273,35.9237,35.398,35.8185,1346761,MCHP
2013-08-14,35.7484,35.7484,35.3279,35.3542,1153565,MCHP
2013-08-15,35.0563,35.0563,34.4307,34.5305,2033971,MCHP
2013-08-16,34.3904,34.9161,34.3684,34.6182,1557384,MCHP
2013-08-19,34.4626,34.8427,34.3918,34.4095,1152835,MCHP
2013-08-20,34.4803,34.7366,34.4104,34.5775,898881,MCHP
2013-08-21,34.4537,34.4979,34.0028,34.3388,1256152,MCHP
2013-08-22,34.3565,34.604,34.0205,34.5333,629765,MCHP
2013-08-23,34.5333,34.6132,34.2062,34.551,1939873,MCHP
2013-08-26,34.604,34.8339,34.4007,34.6305,1035599,MCHP
2013-08-27,34.2946,34.4714,34.0647,34.0736,1528412,MCHP
2013-08-28,34.1178,34.6129,34.0736,34.4581,1082699,MCHP
2013-08-29,34.3918,34.7101,34.3211,34.5068,1186928,MCHP
2013-08-30,33.9851,34.5952,33.9851,34.3123,1518176,MCHP
2013-09-03,34.6482,35.1522,34.3565,34.6482,2114052,MCHP
2013-09-04,34.1266,35.2406,34.1178,34.9842,2328335,MCHP
2013-09-05,34.8781,34.9665,34.3918,34.5775,2744709,MCHP
2013-09-06,34.8339,34.8427,34.1885,34.3918,2043639,MCHP
2013-09-09,34.551,34.6703,34.2769,34.4272,1222222,MCHP
2013-09-10,34.719,34.9046,34.6129,34.8604,1101064,MCHP
2013-09-11,34.7455,35.0284,34.6836,34.8604,993862,MCHP
2013-09-12,34.8781,35.0372,34.5952,34.8958,955699,MCHP
2013-09-13,34.9311,35.0372,34.7632,35.0107,495498,MCHP
2013-09-16,35.4351,35.497,35.1787,35.4262,1462407,MCHP
2013-09-17,35.5854,35.7976,35.5765,35.6119,885694,MCHP
2013-09-18,35.6031,35.7534,35.2848,35.7445,843727,MCHP
2013-09-19,35.8064,35.8771,35.5765,35.7622,1009840,MCHP
2013-09-20,35.7622,35.9037,35.5765,35.5765,2180572,MCHP
