date,open,high,low,close,volume,Name
2014-04-17,12.4738,14.4529,12.4738,14.1286,951088,NAVI
2014-04-21,14.112,14.4446,13.5798,13.9872,444213,NAVI
2014-04-22,13.8292,14.1369,13.8292,13.9706,576707,NAVI
2014-04-23,13.9789,14.0122,13.8958,13.954,1608932,NAVI
2014-04-24,14.0122,14.0205,13.6796,13.8292,368892,NAVI
2014-04-25,14.0538,14.0704,13.5714,14.0454,1086546,NAVI
2014-04-28,14.0787,14.0787,13.6213,13.8625,1187928,NAVI
2014-04-29,13.8209,14.0371,13.6796,13.8708,648522,NAVI
2014-04-30,13.8874,13.8874,13.6047,13.7627,26746201,NAVI
2014-05-01,13.4051,14.4363,13.4051,14.1369,3650133,NAVI
2014-05-02,14.1452,14.3864,14.0288,14.0953,2995032,NAVI
2014-05-05,14.0787,14.3531,13.7461,13.9789,3978423,NAVI
2014-05-06,13.8791,13.9706,13.5132,13.5881,14309226,NAVI
2014-05-07,13.6047,13.8126,13.5215,13.8043,5692881,NAVI
2014-05-08,13.7211,13.8376,13.5964,13.6796,5668216,NAVI
2014-05-09,13.5548,13.7294,13.3303,13.5382,2797016,NAVI
2014-05-12,13.5382,13.7627,13.1182,13.2638,6980098,NAVI
2014-05-13,13.1224,13.4134,13.1224,13.1806,8292045,NAVI
2014-05-14,13.1141,13.3386,12.8895,13.0891,4577476,NAVI
2014-05-15,13.0226,13.3053,12.9644,13.0891,4919040,NAVI
2014-05-16,13.0226,13.2638,13.0226,13.1889,2786872,NAVI
2014-05-19,13.1058,13.3386,13.0258,13.322,4532436,NAVI
2014-05-20,13.3885,13.4426,13.1557,13.2554,9754753,NAVI
2014-05-21,13.2471,13.4134,13.1557,13.2471,1743568,NAVI
2014-05-22,13.1723,13.3386,13.139,13.2804,2128896,NAVI
2014-05-23,13.3053,13.4134,13.2804,13.3636,2826416,NAVI
2014-05-27,13.3802,13.5881,13.1307,13.2887,1726939,NAVI
2014-05-28,13.322,13.3469,13.0268,13.0392,4219138,NAVI
2014-05-29,13.0808,13.1557,12.9145,13.0392,3463351,NAVI
2014-05-30,12.9977,13.2305,12.9977,13.139,5260986,NAVI
2014-06-02,13.1723,13.2554,13.1307,13.1473,2986807,NAVI
2014-06-03,13.8043,13.8043,13.0891,13.164,3483548,NAVI
2014-06-04,13.0968,13.399,13.08,13.3403,3231455,NAVI
2014-06-05,13.4578,14.0035,13.3487,13.9951,4582403,NAVI
2014-06-06,14.0707,14.2302,13.9447,13.9951,1622717,NAVI
2014-06-09,13.9447,14.1127,13.7433,14.1127,3169291,NAVI
2014-06-10,14.0371,14.2722,14.0203,14.1043,3441830,NAVI
2014-06-11,14.0455,14.247,14.0455,14.1714,1857115,NAVI
2014-06-12,14.1127,14.2721,14.0035,14.0539,2336412,NAVI
2014-06-13,14.0371,14.1546,13.8944,13.9951,1485582,NAVI
2014-06-16,13.9867,14.1798,13.9363,14.0875,804878,NAVI
2014-06-17,14.0119,14.2386,13.9699,14.1378,1268810,NAVI
2014-06-18,14.0707,14.3729,14.0119,14.3225,2268103,NAVI
2014-06-19,14.2806,14.5408,14.0413,14.4317,3753998,NAVI
2014-06-20,14.5072,14.7171,14.3981,14.6584,3907893,NAVI
2014-06-23,14.65,14.9186,14.65,14.8431,4459996,NAVI
2014-06-24,14.8263,14.9102,14.7591,14.8221,2609214,NAVI
2014-06-25,14.7759,14.9102,14.7087,14.7843,5173531,NAVI
2014-06-26,14.7591,14.8431,14.7171,14.8347,931667,NAVI
2014-06-27,14.7843,15.0361,14.7843,14.9774,4649509,NAVI
2014-06-30,14.9102,15.0949,14.8095,14.8682,2023702,NAVI
2014-07-01,14.9354,15.0865,14.9186,14.9203,2274049,NAVI
2014-07-02,14.9018,15.0613,14.8053,14.9186,2509893,NAVI
2014-07-03,14.9102,15.0194,14.8431,14.8598,1953706,NAVI
2014-07-07,14.8179,14.9186,14.7759,14.8179,1747251,NAVI
2014-07-08,14.7759,14.8598,14.6416,14.7759,4540638,NAVI
2014-07-09,14.7759,14.8934,14.7507,14.8766,2496945,NAVI
2014-07-10,14.7255,15.0026,14.6919,14.927,2692521,NAVI
2014-07-11,14.9522,15.0571,14.8934,15.0194,6752732,NAVI
2014-07-14,15.0865,15.1663,14.9606,15.1117,2796720,NAVI
2014-07-15,15.1033,15.1873,14.8137,14.8598,3716181,NAVI
2014-07-16,14.8682,15.0403,14.6835,14.9606,3180617,NAVI
2014-07-17,14.8514,15.3468,14.8514,14.8598,2805828,NAVI
2014-07-18,14.9018,14.9018,14.6919,14.8514,2191662,NAVI
2014-07-21,14.8179,15.0278,14.7507,14.9942,2268473,NAVI
2014-07-22,15.011,15.1033,14.969,15.0865,1774509,NAVI
2014-07-23,15.0697,15.1285,15.0361,15.0949,1414425,NAVI
2014-07-24,15.0445,15.2376,15.0445,15.0865,2131840,NAVI
2014-07-25,15.0278,15.2376,14.927,15.0026,1967620,NAVI
2014-07-28,14.9438,15.1537,14.8263,15.1033,2900432,NAVI
2014-07-29,15.0529,15.2041,14.8179,14.8598,3500376,NAVI
2014-07-30,14.8598,15.0865,14.6751,14.7591,3032346,NAVI
2014-07-31,14.7171,15.0781,14.4317,14.4401,3567958,NAVI
2014-08-01,14.4401,14.6919,14.3897,14.5576,1832520,NAVI
2014-08-04,14.5408,14.5576,14.2554,14.4149,1700359,NAVI
2014-08-05,14.3309,14.4821,14.1714,14.2302,2091317,NAVI
2014-08-06,14.205,14.3981,14.1546,14.2638,2538550,NAVI
2014-08-07,14.3057,14.4317,14.0715,14.1546,1392808,NAVI
2014-08-08,14.1882,14.5618,14.0707,14.5072,3591830,NAVI
2014-08-11,14.566,14.5996,14.3477,14.3561,1096330,NAVI
2014-08-12,14.3645,14.4149,14.2218,14.3561,1166896,NAVI
2014-08-13,14.3981,14.4695,14.3309,14.4149,940892,NAVI
2014-08-14,14.3981,14.4149,14.3057,14.3981,1448196,NAVI
2014-08-15,14.4065,14.4821,14.1546,14.289,1595089,NAVI
2014-08-18,14.3813,14.7003,14.3309,14.5912,2932780,NAVI
2014-08-19,14.566,14.6584,14.4275,14.5408,1413903,NAVI
2014-08-20,14.4233,14.7465,14.3645,14.6919,1279188,NAVI
2014-08-21,14.6919,14.7255,14.5156,14.6584,1167229,NAVI
2014-08-22,14.6248,14.7759,14.5828,14.65,1061992,NAVI
2014-08-25,14.6751,14.8934,14.65,14.8011,769614,NAVI
2014-08-26,14.7759,14.8934,14.7171,14.7843,917005,NAVI
2014-08-27,14.7591,14.9186,14.7591,14.8682,840227,NAVI
2014-08-28,14.7927,14.9438,14.7171,14.8766,911179,NAVI
2014-08-29,14.8766,15.1117,14.8179,15.0613,1990289,NAVI
2014-09-02,15.0613,15.2208,15.011,15.0949,1560694,NAVI
2014-09-03,15.1201,15.1873,15.0361,15.0949,1309433,NAVI
2014-09-04,15.0781,15.2586,15.0781,15.0781,1609867,NAVI
2014-09-05,15.0278,15.1537,14.8011,14.9354,2305249,NAVI
2014-09-08,14.927,15.1537,14.7171,14.8514,1883296,NAVI
2014-09-09,14.7927,14.8598,14.5912,14.6751,1588756,NAVI
2014-09-10,14.7852,14.7852,14.5566,14.6921,1206080,NAVI
2014-09-11,14.6159,14.8318,14.6159,14.7852,1300354,NAVI
2014-09-12,14.7005,14.9545,14.7005,14.9207,1343128,NAVI
2014-09-15,14.9038,14.9038,14.5651,14.7005,1394414,NAVI
2014-09-16,14.6751,14.8953,14.5905,14.8191,981544,NAVI
2014-09-17,14.8191,15.2002,14.8191,15.0901,1182687,NAVI
2014-09-18,15.107,15.2086,15.0731,15.1155,1817421,NAVI
2014-09-19,15.1917,15.2002,15.0731,15.1239,2140327,NAVI
2014-09-22,15.0647,15.2002,14.9715,15.0901,1560020,NAVI
2014-09-23,15.0901,15.2002,14.8741,14.9038,1775999,NAVI
2014-09-24,14.8953,15.1663,14.8022,15.1663,1968623,NAVI
2014-09-25,15.0985,15.1832,14.9122,15.0139,1543644,NAVI
2014-09-26,14.9969,15.0477,14.853,14.9715,956200,NAVI
2014-09-29,14.8445,15.1155,14.7937,14.9461,1386657,NAVI
2014-09-30,14.9377,15.1324,14.9122,14.9969,1678906,NAVI
2014-10-01,14.9969,15.107,14.7514,14.7683,2330367,NAVI
2014-10-02,14.7175,14.9038,14.5947,14.7344,1741525,NAVI
2014-10-03,14.7768,14.9694,14.6836,14.7598,1739285,NAVI
2014-10-06,14.8022,15.0562,14.7429,14.8784,3435225,NAVI
2014-10-07,14.836,14.9588,14.6497,14.6497,2698982,NAVI
2014-10-08,14.6243,14.7175,14.3788,14.6836,4953239,NAVI
2014-10-09,14.6328,14.7175,14.4761,14.6159,3039139,NAVI
2014-10-10,14.6413,14.8106,14.4634,14.5015,4295154,NAVI
2014-10-13,14.8868,15.0477,14.6413,14.6497,3456579,NAVI
2014-10-14,14.7175,14.8953,14.7175,14.7937,3239694,NAVI
2014-10-15,14.6497,15.0562,14.5566,14.7514,3793116,NAVI
2014-10-16,14.5566,15.1239,14.5481,14.9377,3868309,NAVI
2014-10-17,15.0139,15.7675,14.9969,15.7591,4878778,NAVI
2014-10-20,15.6744,16.0216,15.5643,15.7845,2515974,NAVI
2014-10-21,15.9623,16.0046,15.7082,15.9115,3410493,NAVI
2014-10-22,15.9199,16.157,15.6574,15.6913,4271022,NAVI
2014-10-23,15.7929,16.0131,15.6574,15.8437,2624968,NAVI
2014-10-24,15.8776,16.157,15.8776,16.0046,1436577,NAVI
2014-10-27,15.9792,16.0131,15.8353,15.9538,1602448,NAVI
2014-10-28,15.9792,16.174,15.903,16.1232,1842489,NAVI
2014-10-29,16.0978,16.3688,15.9623,16.3095,1961049,NAVI
2014-10-30,16.2925,16.5466,16.2248,16.5127,1859731,NAVI
2014-10-31,16.6482,16.8176,16.5593,16.7498,3215094,NAVI
2014-11-03,16.7075,17.0208,16.5805,16.9361,2863163,NAVI
2014-11-04,16.6736,16.6905,16.4196,16.4788,2013661,NAVI
2014-11-05,16.6651,16.7075,16.2417,16.6143,3538759,NAVI
2014-11-06,16.699,17.0293,16.6143,17.0208,2726273,NAVI
2014-11-07,16.9784,17.1563,16.8599,17.1139,2476343,NAVI
2014-11-10,17.0801,17.2367,17.0293,17.1055,2319392,NAVI
2014-11-11,17.0885,17.2156,16.9454,17.1902,1819417,NAVI
2014-11-12,17.2071,17.3341,16.9784,17.0462,2179877,NAVI
2014-11-13,17.3087,17.5966,17.1648,17.5966,2629723,NAVI
2014-11-14,17.5712,17.5966,17.1648,17.2833,2158055,NAVI
2014-11-17,17.2156,17.6474,17.1986,17.622,1436762,NAVI
2014-11-18,17.5373,17.8295,17.495,17.6728,1472078,NAVI
2014-11-19,17.3934,17.5966,17.3934,17.5373,1031334,NAVI
2014-11-20,17.5373,17.6728,17.4611,17.5289,2741860,NAVI
2014-11-21,17.7575,17.9692,17.639,17.9353,2867071,NAVI
2014-11-24,17.9353,18.0539,17.6898,17.7321,2107232,NAVI
