date,open,high,low,close,volume,Name
2013-07-26,35.1165,35.5545,35.0767,35.2757,1804677,O
2013-07-29,35.3996,35.5545,35.3156,35.427,1829096,O
2013-07-30,35.7401,36.0599,35.3244,35.3403,1057902,O
2013-07-31,35.4283,35.5562,34.4209,34.7087,1900533,O
2013-08-01,35.0365,35.1964,34.229,34.237,2661128,O
2013-08-02,34.2529,34.6607,34.2514,34.5168,1426241,O
2013-08-05,34.5248,34.6607,33.9811,34.077,1381676,O
2013-08-06,34.0131,34.2929,33.8452,34.0611,1617276,O
2013-08-07,33.9171,34.3809,33.7832,34.2849,1192040,O
2013-08-08,34.5088,34.5088,33.9811,34.3889,963038,O
2013-08-09,34.3009,35.0845,34.2769,34.7807,1062801,O
2013-08-12,34.7327,34.7727,34.2529,34.3809,1357446,O
2013-08-13,34.4928,34.4928,33.4614,33.6373,1760078,O
2013-08-14,33.6373,33.8444,33.4134,33.4534,1502626,O
2013-08-15,33.2215,33.3015,32.4779,32.9337,1988885,O
2013-08-16,32.9177,32.9337,31.9023,32.0622,2280947,O
2013-08-19,32.0622,32.0622,31.4065,31.4145,2186847,O
2013-08-20,31.5105,32.5859,31.4145,32.1421,2954943,O
2013-08-21,32.1661,32.6458,31.9023,32.0542,2149889,O
2013-08-22,32.2061,32.4699,32.0742,32.1901,2085522,O
2013-08-23,32.318,32.7418,32.1901,32.5259,2355626,O
2013-08-26,32.5259,32.5579,32.0842,32.1421,1316506,O
2013-08-27,32.0062,32.294,31.9742,32.0062,1305190,O
2013-08-28,31.9422,32.1444,31.5744,31.6464,1432157,O
2013-08-29,31.944,32.0734,31.495,31.9448,1152172,O
2013-08-30,32.0565,32.1216,31.6155,31.728,1126397,O
2013-09-03,31.185,32.1216,30.8364,31.2219,2688724,O
2013-09-04,31.2701,31.6236,30.9087,31.5673,1255574,O
2013-09-05,31.495,31.5097,31.0532,31.0854,1156224,O
2013-09-06,31.3585,31.736,31.2557,31.4308,1322784,O
2013-09-12,31.8726,32.0091,31.4629,31.5031,1189250,O
2013-09-13,31.6396,31.7031,31.4468,31.487,1387263,O
2013-09-16,32.2983,32.483,31.8244,32.0493,1484993,O
2013-09-17,32.0091,32.226,31.8645,31.8967,1638591,O
2013-09-18,31.7601,32.8123,31.5272,32.7561,2732392,O
2013-09-19,32.9248,33.2461,32.475,32.475,2153493,O
2013-09-20,32.6115,32.6276,32.0012,32.0653,2433037,O
2013-09-23,32.1055,32.3585,31.7842,31.8324,3632307,O
2013-09-24,31.8806,32.4429,31.728,32.0573,2022728,O
2013-09-25,32.2983,32.5553,32.0171,32.5312,2163939,O
2013-09-26,33.1054,33.3585,32.5312,33.0051,3713630,O
2013-09-27,32.9986,33.0107,32.3935,32.4822,2279212,O
2013-09-30,32.2402,32.5064,31.9336,32.0707,2083972,O
2013-10-01,32.1433,33.1962,32.0949,32.7969,3039862,O
2013-10-02,32.6355,32.8614,32.4741,32.7162,1501094,O
2013-10-03,32.1594,32.5952,31.9497,32.1191,2387953,O
2013-10-04,32.1191,32.3531,31.8367,32.0304,1652271,O
2013-10-07,31.7964,32.2886,31.7238,32.0062,875346,O
2013-10-08,32.0869,32.1837,31.5463,31.6754,2135845,O
2013-10-09,31.7964,32.1308,31.6754,31.748,1085907,O
2013-10-10,32.1272,32.6032,32.0062,32.5629,1416749,O
2013-10-11,32.2966,32.8049,32.0949,32.7969,1240847,O
2013-10-14,32.6597,32.9501,32.5145,32.9098,1109832,O
2013-10-15,32.8453,33.1115,32.6758,32.9582,1360333,O
2013-10-16,32.9905,33.5956,32.9582,33.5714,1455357,O
2013-10-17,33.878,34.1362,33.523,34.0474,1222256,O
2013-10-18,34.2491,34.3782,33.6037,33.7731,1376181,O
2013-10-21,33.7731,33.8215,33.2325,33.2809,1728921,O
2013-10-22,32.6758,33.2404,32.6032,33.0389,11618901,O
2013-10-23,33.0389,33.4504,32.8614,33.4504,4755741,O
2013-10-24,33.4181,33.6359,33.1438,33.5149,2735083,O
2013-10-25,33.5956,34.6848,33.4907,34.6767,2887718,O
2013-10-28,34.6929,34.8623,34.4105,34.7493,2161379,O
2013-10-29,34.7171,34.7413,34.4064,34.6687,2339680,O
2013-10-30,34.6041,34.709,34.3056,34.3863,2126493,O
2013-10-31,34.3459,34.3621,33.4141,33.6037,2445897,O
2013-11-01,33.6521,33.9183,33.4826,33.8457,1828855,O
2013-11-04,33.8457,33.999,33.4342,33.765,1580613,O
2013-11-05,33.6843,33.9022,33.4342,33.4423,1807807,O
2013-11-06,33.5149,33.9829,33.4826,33.7973,1501698,O
2013-11-07,33.9022,33.9587,33.3697,33.3778,1544514,O
2013-11-08,33.2003,33.2003,32.1976,32.3208,2338400,O
2013-11-11,32.4096,32.6274,32.2402,32.3208,1464800,O
2013-11-12,32.4257,32.4257,31.7641,32.1917,2701854,O
