date,open,high,low,close,volume,Name
2013-07-26,35.9875,36.3171,35.7203,36.1568,452364,PDCO
2013-07-29,35.9965,36.1568,35.8807,36.0944,284948,PDCO
2013-07-30,36.2548,36.5398,36.1568,36.2904,567174,PDCO
2013-07-31,36.4418,36.7447,36.2548,36.424,576365,PDCO
2013-08-01,36.6467,37.1901,36.326,37.0921,464043,PDCO
2013-08-02,37.2703,37.3059,36.8427,37.2703,541083,PDCO
2013-08-05,37.2525,37.2525,36.8828,37.2079,426171,PDCO
2013-08-06,37.101,37.297,36.9852,37.2391,528058,PDCO
2013-08-07,37.2346,37.3415,37.0342,37.2257,447702,PDCO
2013-08-08,37.3237,37.7157,37.2792,37.6533,386312,PDCO
2013-08-09,37.68,37.7914,37.4128,37.493,422217,PDCO
2013-08-12,37.3326,37.8136,37.2435,37.6978,478720,PDCO
2013-08-13,37.7691,37.9651,37.3772,37.9473,422921,PDCO
2013-08-14,37.9384,38.0274,37.6355,37.7246,516772,PDCO
2013-08-15,37.5642,37.6177,37.0119,37.0476,467337,PDCO
2013-08-16,37.0119,37.297,36.8338,36.9852,599883,PDCO
2013-08-19,37.0832,37.3237,36.9407,36.9407,501899,PDCO
2013-08-20,36.9674,37.395,36.718,37.297,553090,PDCO
2013-08-21,37.1901,37.3326,36.8516,37.101,907838,PDCO
2013-08-22,35.9074,36.62,35.6312,36.2102,1325532,PDCO
2013-08-23,36.4329,36.6913,36.2726,36.5309,708674,PDCO
2013-08-26,36.5576,36.7002,36.0098,36.0321,702621,PDCO
2013-08-27,35.6758,35.7871,35.5332,35.5956,767985,PDCO
2013-08-28,35.6134,35.8005,35.4397,35.4531,457081,PDCO
2013-08-29,35.3373,35.8807,35.0611,35.6134,486259,PDCO
2013-08-30,35.5956,35.6001,35.3907,35.5243,507290,PDCO
2013-09-03,36.0054,36.2459,35.3818,35.4798,746437,PDCO
2013-09-04,35.4264,35.7025,35.3551,35.6401,554611,PDCO
2013-09-05,35.6134,35.8539,35.56,35.6936,384764,PDCO
2013-09-06,35.7381,35.943,35.2393,35.658,474842,PDCO
2013-09-09,35.7114,35.8628,35.5243,35.8628,429009,PDCO
2013-09-10,35.9965,36.424,35.854,36.2102,389782,PDCO
2013-09-11,36.2013,36.5398,36.041,36.5131,573785,PDCO
2013-09-12,36.4418,36.6467,36.4062,36.522,512544,PDCO
2013-09-13,36.5309,36.6168,36.3038,36.4597,342662,PDCO
2013-09-16,36.522,36.816,36.5131,36.7358,508101,PDCO
2013-09-17,36.816,36.8516,36.4775,36.7714,360828,PDCO
2013-09-18,36.8071,36.9674,36.335,36.7982,392287,PDCO
2013-09-19,36.7803,36.8783,36.5176,36.7002,397269,PDCO
2013-09-20,36.7358,36.7803,36.188,36.326,712645,PDCO
2013-09-23,36.2102,36.3171,36.0766,36.2815,318215,PDCO
2013-09-24,36.3795,36.3973,35.8361,35.943,724679,PDCO
2013-09-25,35.9519,36.1657,35.7381,35.7559,432137,PDCO
2013-09-26,35.8094,35.9519,35.6491,35.8985,460381,PDCO
2013-09-27,35.6847,35.8628,35.4887,35.6045,463254,PDCO
2013-09-30,35.4976,35.8539,35.2304,35.796,579494,PDCO
2013-10-01,32.5937,36.0944,32.5937,35.9519,548452,PDCO
2013-10-02,35.8272,35.8272,35.5065,35.6312,565526,PDCO
2013-10-03,35.5422,35.6134,35.168,35.5243,945196,PDCO
2013-10-04,35.56,35.9296,35.462,35.7827,846365,PDCO
2013-10-07,35.5689,35.7693,35.4442,35.5511,443983,PDCO
