date,open,high,low,close,volume,Name
2013-07-26,41.1576,41.6199,41.0746,41.5202,672091,RMD
2013-07-29,41.5293,41.8919,41.343,41.8375,860341,RMD
2013-07-30,42.2454,43.1157,41.765,42.4539,1533943,RMD
2013-07-31,42.4177,43.4149,42.1095,43.1973,1570950,RMD
2013-08-01,43.9679,44.82,43.424,43.8591,2143305,RMD
2013-08-02,45.6269,46.2343,42.9707,43.4149,2970485,RMD
2013-08-05,43.5146,43.7413,42.6534,42.7712,1279341,RMD
2013-08-06,43.6597,43.8863,43.0931,43.4874,1451040,RMD
2013-08-07,43.4512,43.9498,43.3786,43.8228,873565,RMD
2013-08-08,44.7566,45.4274,44.6206,45.228,1645183,RMD
2013-08-09,45.3277,45.7175,44.9923,45.5453,894640,RMD
2013-08-12,45.3277,45.4501,44.8835,45.0558,649529,RMD
2013-08-13,45.1464,45.3277,44.53,44.5753,722978,RMD
2013-08-14,44.2308,44.3758,43.6869,44.1673,950026,RMD
2013-08-15,44.7322,45.8212,44.3313,44.4042,625544,RMD
2013-08-16,44.5591,45.3428,44.3769,45.1241,971857,RMD
2013-08-19,44.9783,45.4321,44.9691,45.1149,1122489,RMD
2013-08-20,45.1514,45.361,44.9145,44.9418,815395,RMD
2013-08-21,45.3336,45.3336,44.3723,44.5318,665165,RMD
2013-08-22,44.8325,45.2972,44.1583,44.7778,547936,RMD
2013-08-23,44.8689,45.1514,44.2128,44.8142,475830,RMD
2013-08-26,45.1058,45.3154,44.8142,44.9054,668235,RMD
2013-08-27,44.6502,44.878,44.3769,44.4589,724917,RMD
2013-08-28,44.3677,44.5682,43.7025,43.9212,759464,RMD
2013-08-29,43.9395,44.1582,43.6661,43.9486,663203,RMD
2013-08-30,43.9668,44.2198,42.8278,43.0465,1583308,RMD
2013-09-03,43.493,43.657,42.9918,43.2743,1260203,RMD
2013-09-04,43.1649,43.7208,42.9371,43.6843,565221,RMD
2013-09-05,43.7846,44.9965,43.6843,44.8234,938304,RMD
2013-09-06,45.1332,45.3063,44.6867,44.7869,749065,RMD
2013-09-09,44.9965,46.1948,44.96,46.172,869140,RMD
2013-09-10,46.254,47.6482,46.1902,47.6208,1048885,RMD
2013-09-11,47.4295,48.0582,47.2336,47.393,1388891,RMD
2013-09-12,47.2837,47.9306,47.2837,47.7302,909330,RMD
2013-09-13,47.6755,48.0856,47.4933,48.0035,540580,RMD
2013-09-16,48.5958,48.8692,48.2587,48.6779,585229,RMD
2013-09-17,48.7508,49.1607,48.6961,48.9603,790261,RMD
2013-09-18,49.0515,49.5617,48.0582,49.5344,1046844,RMD
2013-09-19,49.3886,49.5162,48.8965,49.015,575194,RMD
2013-09-20,48.7599,48.9694,48.0218,48.0218,1347758,RMD
2013-09-23,48.2951,48.6596,47.9853,48.1311,673473,RMD
2013-09-24,48.1129,48.5321,47.8577,47.8851,1057920,RMD
2013-09-25,48.1402,48.4182,47.958,48.0218,628339,RMD
2013-09-26,48.4865,48.7233,47.9398,48.204,755306,RMD
2013-09-27,47.9398,48.1475,47.6117,48.0218,794548,RMD
2013-09-30,47.7028,48.2951,47.6664,48.1311,1309630,RMD
