date,open,high,low,close,volume,Name
2013-07-26,67.3076,67.7216,66.7149,67.684,147567,SIG
2013-07-29,67.7404,68.2108,67.2888,67.6369,364719,SIG
2013-07-30,67.7592,68.0697,67.063,67.7216,355930,SIG
2013-07-31,68.0705,69.315,67.731,68.9284,419374,SIG
2013-08-01,68.9755,71.3043,68.9378,70.3803,798981,SIG
2013-08-02,69.9655,70.6537,69.2725,70.1352,277348,SIG
2013-08-05,70.1069,70.7952,69.6355,70.0032,193097,SIG
2013-08-06,69.9278,69.9278,68.721,69.0981,229986,SIG
2013-08-07,69.0227,69.5507,67.9667,68.8436,316785,SIG
2013-08-08,69.2867,69.8146,68.8982,69.6167,357880,SIG
2013-08-09,69.4941,69.7769,68.9567,69.6732,253523,SIG
2013-08-12,69.3338,70.3898,69.0227,70.1163,284740,SIG
2013-08-13,69.9655,71.7945,69.8429,71.2854,358125,SIG
2013-08-14,71.3986,71.606,69.9466,69.9655,298460,SIG
2013-08-15,69.1075,69.3338,68.0327,68.3627,441530,SIG
2013-08-16,68.3533,69.0698,67.9196,68.0799,165396,SIG
2013-08-19,68.127,69.5224,67.8819,68.5041,397947,SIG
2013-08-20,68.655,69.7392,67.9667,69.051,193844,SIG
2013-08-21,68.919,69.1877,67.5614,67.6745,413157,SIG
2013-08-22,67.929,68.5136,66.0151,66.3074,644308,SIG
2013-08-23,66.5243,67.7216,66.0151,67.5519,709142,SIG
2013-08-26,67.7688,68.0045,66.7128,67.1088,429887,SIG
2013-08-27,66.6562,67.0617,63.5167,63.9315,1153534,SIG
2013-08-28,64.2144,66.6138,64.0683,65.836,1611147,SIG
2013-08-29,63.6393,63.6393,62.4231,63.1679,2621674,SIG
2013-08-30,63.1207,63.5921,62.2911,62.6022,968973,SIG
2013-09-03,63.479,63.6016,62.1402,62.753,1383980,SIG
2013-09-04,62.7059,63.2244,62.5173,62.8096,689619,SIG
2013-09-05,63.017,63.5497,62.6682,63.1867,435454,SIG
2013-09-06,63.611,63.7618,62.4702,63.149,421339,SIG
2013-09-09,64.1107,64.8178,63.6487,64.5632,412977,SIG
2013-09-10,65.1289,66.0151,64.9026,65.7134,658301,SIG
2013-09-11,65.7229,65.9963,64.6952,65.1572,484394,SIG
2013-09-12,65.0723,65.7464,64.2804,64.2992,281485,SIG
2013-09-13,64.5538,65.1855,64.2662,64.6952,493411,SIG
2013-09-16,66.2886,66.2886,65.0158,65.176,359258,SIG
2013-09-17,65.3646,65.374,64.6386,65.2515,558830,SIG
2013-09-18,65.4117,66.628,65.3363,66.4017,784529,SIG
2013-09-19,66.7882,68.259,66.6468,67.7782,852773,SIG
2013-09-20,68.4664,69.3621,67.2502,67.2502,888178,SIG
2013-09-23,67.3539,67.5368,66.4865,66.9957,528248,SIG
2013-09-24,67.1371,67.797,66.6751,66.7034,854143,SIG
2013-09-25,66.9391,66.9391,66.2508,66.5997,341041,SIG
2013-09-26,66.7882,67.1654,66.3546,66.6468,413452,SIG
2013-09-27,67.2879,67.9385,66.6091,67.8253,414885,SIG
2013-09-30,67.2031,67.6839,66.4205,67.5519,446730,SIG
2013-10-01,67.7688,68.9944,67.2691,67.9196,808842,SIG
2013-10-02,67.863,68.1765,67.0711,68.0233,702818,SIG
2013-10-03,67.8442,68.4853,67.2219,67.5425,440833,SIG
2013-10-04,67.3916,68.9001,67.1088,68.5796,424292,SIG
2013-10-07,69.2961,69.3055,68.1459,68.1553,717615,SIG
2013-10-08,68.3721,68.9567,66.5525,66.8731,519428,SIG
2013-10-09,67.4293,67.4293,65.5155,65.6003,775657,SIG
2013-10-10,66.5337,66.8731,66.2508,66.826,641267,SIG
2013-10-11,66.8165,68.6644,66.1754,68.655,1095905,SIG
2013-10-14,67.9856,68.9378,67.8536,68.7681,432070,SIG
2013-10-15,68.5701,68.8813,68.2024,68.4759,669128,SIG
2013-10-16,68.8153,70.2483,68.2779,70.0881,543347,SIG
2013-10-17,69.8618,70.9649,69.7109,70.6443,688379,SIG
2013-10-18,71.1911,71.7191,70.8234,71.7097,496170,SIG
2013-10-21,71.8982,72.5959,71.2383,72.1811,839734,SIG
2013-10-22,72.2659,72.8316,71.7191,71.87,836888,SIG
2013-10-23,71.408,71.9831,71.3231,71.4457,666784,SIG
2013-10-24,71.4551,72.0962,71.2194,71.3703,905507,SIG
2013-10-25,71.6531,71.9171,70.946,71.3797,336322,SIG
2013-10-28,71.5211,71.9171,70.7292,71.2854,435256,SIG
2013-10-29,71.3608,71.7191,70.7857,71.1723,617270,SIG
2013-10-30,71.569,71.9375,70.596,70.8983,647008,SIG
2013-10-31,71.0306,71.314,70.3693,70.5299,957651,SIG
2013-11-01,70.785,71.484,70.3221,71.0589,635430,SIG
2013-11-04,71.4557,72.0319,71.3612,71.7202,566383,SIG
2013-11-05,71.6446,72.9766,71.007,72.7688,550004,SIG
2013-11-06,73.0239,73.2884,72.457,72.8821,629317,SIG
2013-11-07,73.005,73.6851,69.8592,69.8686,945319,SIG
2013-11-08,69.982,71.0306,69.982,70.7283,905956,SIG
2013-11-11,70.7283,71.3329,70.5582,70.8605,1004650,SIG
2013-11-12,70.7566,72.6838,70.7566,72.6649,701511,SIG
2013-11-13,72.3342,73.5151,71.843,73.3356,578901,SIG
2013-11-14,73.4112,74.1291,73.0427,74.0063,295454,SIG
2013-11-15,74.0063,74.6723,73.9024,74.3653,316702,SIG
2013-11-18,74.7054,74.9321,73.2978,73.6379,599134,SIG
2013-11-19,73.449,73.9119,72.5704,72.6932,355217,SIG
2013-11-20,73.0333,73.345,72.3153,72.7404,565863,SIG
2013-11-21,72.9672,73.6096,72.3484,73.1561,451228,SIG
2013-11-22,73.1089,73.8079,72.4416,72.8727,505087,SIG
2013-11-25,72.9105,73.175,72.0792,72.2398,777740,SIG
2013-11-26,72.4665,73.9024,71.9375,73.5056,980064,SIG
2013-11-27,74.5164,74.6204,72.4193,72.8916,558630,SIG
2013-11-29,72.117,73.0616,72.117,72.5893,309503,SIG
2013-12-02,71.8997,73.6662,71.8997,72.2587,611249,SIG
2013-12-03,73.8741,74.1764,71.2195,71.3707,603736,SIG
2013-12-04,73.7607,74.2708,70.5866,70.87,794916,SIG
2013-12-05,71.6824,71.8997,70.7661,71.5029,657986,SIG
2013-12-06,74.6109,74.6109,71.8241,72.0414,499277,SIG
2013-12-09,72.0981,72.4854,71.5029,71.6068,362420,SIG
2013-12-10,71.4651,72.3153,71.3234,71.928,553011,SIG
2013-12-11,71.8336,72.4287,70.8511,71.0589,684857,SIG
2013-12-12,71.1156,71.4935,70.87,71.0211,314076,SIG
2013-12-13,71.1062,71.5927,70.9078,71.2573,406881,SIG
2013-12-16,71.5313,72.2398,71.4651,72.0036,376506,SIG
2013-12-17,72.0697,72.4287,71.0306,71.6163,514091,SIG
2013-12-18,71.8902,72.6743,70.8983,72.6743,769421,SIG
2013-12-19,72.6838,72.7641,71.2856,71.8525,405434,SIG
2013-12-20,72.202,73.2222,72.0603,73.1561,1218965,SIG
2013-12-23,73.3734,74.6865,72.7499,73.2033,514970,SIG
2013-12-24,73.4206,74.1575,73.4206,73.534,222440,SIG
2013-12-26,73.6851,74.4409,73.4962,74.0913,500935,SIG
2013-12-27,74.1102,74.5637,73.4017,73.619,206013,SIG
2013-12-30,73.7702,74.4881,73.26,74.1953,239613,SIG
2013-12-31,74.2047,74.7526,73.9592,74.3464,326510,SIG
2014-01-02,74.3559,75.1305,73.9969,74.3559,769019,SIG
2014-01-03,74.5637,75.4516,74.1386,74.3653,595469,SIG
2014-01-06,74.9793,75.7445,74.4314,74.9321,1024152,SIG
2014-01-07,75.0549,75.7067,74.3181,75.6312,874722,SIG
2014-01-08,75.4895,75.5084,74.8849,75.2627,545063,SIG
2014-01-09,70.2276,71.5076,69.1507,69.5569,3129335,SIG
2014-01-10,69.6891,69.9064,67.4502,67.4786,2170492,SIG
2014-01-13,67.3274,67.6392,65.6459,66.241,1866134,SIG
2014-01-14,66.0332,68.7917,65.7309,68.65,2209159,SIG
2014-01-15,68.7161,69.349,68.1871,69.1696,1266406,SIG
2014-01-16,69.1129,69.4317,68.2343,69.0562,746842,SIG
2014-01-17,69.2829,71.2762,69.0184,71.2479,1597104,SIG
2014-01-21,71.5785,71.7674,70.7188,71.1628,1404761,SIG
2014-01-22,71.4273,71.758,70.8605,71.5124,755122,SIG
2014-01-23,71.1723,71.6352,70.7944,71.6068,1248497,SIG
2014-01-24,71.2101,71.4651,70.2276,70.3504,1387243,SIG
2014-01-27,72.7121,75.2816,72.5326,74.6487,2883554,SIG
2014-01-28,74.5353,75.5556,74.5353,75.5273,2039925,SIG
2014-01-29,75.2433,75.7781,74.6565,75.2906,1583886,SIG
2014-01-30,75.4515,76.5873,75.2054,76.5305,1725675,SIG
2014-01-31,75.0919,76.3507,75.0162,75.2906,2583258,SIG
2014-02-03,75.5556,75.5556,71.5048,71.9118,2467194,SIG
2014-02-04,71.9307,72.9339,71.1735,71.2493,2429420,SIG
2014-02-05,71.1073,72.7163,70.4779,72.4986,2168830,SIG
2014-02-06,72.7257,74.3063,71.855,74.2401,1066911,SIG
2014-02-07,76.133,76.928,74.5524,74.9594,1674052,SIG
2014-02-10,75.0919,75.726,74.3158,75.1297,1253987,SIG
2014-02-11,75.196,76.3033,74.8931,75.3947,1851485,SIG
2014-02-12,75.3947,75.3947,74.136,74.7701,1093977,SIG
2014-02-13,74.2022,75.5083,74.2022,75.2717,1698843,SIG
2014-02-14,75.0067,75.5651,74.5524,75.0351,1440549,SIG
2014-02-18,75.4042,75.849,74.912,75.0256,1032352,SIG
2014-02-19,84.1116,89.1203,83.9318,88.6357,12298089,SIG
2014-02-20,88.8534,89.9607,88.2287,89.1752,2042960,SIG
2014-02-21,90.0932,90.1973,88.8628,89.2887,2540889,SIG
2014-02-24,89.8471,89.9323,89.0048,89.2319,1468810,SIG
2014-02-25,88.9764,90.6989,88.9764,90.2825,1295031,SIG
2014-02-26,89.885,91.8394,89.8093,90.4813,1171706,SIG
2014-02-27,90.3582,91.1911,89.4496,90.5948,1201195,SIG
2014-02-28,90.5948,91.3804,89.9134,90.4339,848051,SIG
2014-03-03,89.1657,90.964,88.9196,90.2825,663821,SIG
2014-03-04,91.1911,93.368,90.964,93.3206,930048,SIG
2014-03-05,92.9515,92.9515,91.7306,92.0808,780213,SIG
2014-03-06,92.3268,93.5194,92.0713,93.226,630443,SIG
2014-03-07,93.226,94.1724,92.4783,93.7371,723481,SIG
2014-03-10,93.4531,93.898,92.0618,92.5445,1088033,SIG
2014-03-11,92.5729,92.9988,91.6549,92.2701,880344,SIG
2014-03-12,91.9483,92.4783,91.1012,92.1849,1544645,SIG
2014-03-13,92.2227,93.7749,91.655,92.7528,1156937,SIG
2014-03-14,92.554,93.6235,92.2133,93.5099,871091,SIG
2014-03-17,93.6992,95.4312,93.3301,95.4123,1137652,SIG
2014-03-18,95.4028,96.955,95.3555,96.3966,1208175,SIG
2014-03-19,96.0748,96.8888,95.6584,96.6805,807750,SIG
2014-03-20,96.0559,96.6143,95.2609,96.548,991199,SIG
2014-03-21,96.2452,96.5291,94.6173,94.6173,2265395,SIG
2014-03-24,95.4028,95.8145,92.9894,93.8506,1658653,SIG
2014-03-25,94.5132,95.1189,93.0272,94.1819,747400,SIG
2014-03-26,94.8728,95.8477,92.147,93.084,1546299,SIG
2014-03-27,96.4913,101.6305,95.6016,99.4063,4143993,SIG
2014-03-28,100.4853,101.0437,98.7438,100.296,2229510,SIG
2014-03-31,100.8071,101.2614,98.706,100.1919,1387142,SIG
2014-04-01,100.3717,101.5264,100.0594,101.0153,1455143,SIG
2014-04-02,101.2425,101.9712,100.9207,101.2235,1156258,SIG
2014-04-03,101.2046,101.6211,100.9112,101.375,985346,SIG
2014-04-04,101.7536,101.9287,98.829,99.1792,1302938,SIG
2014-04-07,98.7533,99.6335,96.4165,97.0213,1004526,SIG
2014-04-08,98.1097,98.6492,97.0781,98.4599,807664,SIG
2014-04-09,98.5356,99.5105,97.5513,99.236,543350,SIG
2014-04-10,100.0973,100.968,97.2579,97.5892,904776,SIG
2014-04-11,96.5954,97.4197,95.1378,96.018,770126,SIG
2014-04-14,97.22,97.4756,95.8098,96.5859,761236,SIG
2014-04-15,96.8036,96.8405,93.8317,95.3744,1110950,SIG
2014-04-16,95.8666,96.8083,94.9959,95.8571,766109,SIG
2014-04-17,97.8163,97.8163,94.4658,95.0716,1005461,SIG
2014-04-21,94.9201,95.8193,94.0712,95.0526,556107,SIG
2014-04-22,95.0432,95.63,94.4374,94.4942,678917,SIG
2014-04-23,94.4564,95.2419,94.144,94.3144,513445,SIG
2014-04-24,94.4469,95.4218,92.6676,94.816,817997,SIG
