date,open,high,low,close,volume,Name
2013-07-26,29.9226,30.2267,29.6445,30.2093,4395528,SYY
2013-07-29,30.2006,30.4699,30.0442,30.3917,2492304,SYY
2013-07-30,30.6871,30.8175,30.0955,30.1485,3320930,SYY
2013-07-31,30.2093,30.2093,29.8922,29.9834,3341366,SYY
2013-08-01,30.1485,30.3309,30.0008,30.2267,3106428,SYY
2013-08-02,30.2875,30.4004,30.0181,30.3917,2334538,SYY
2013-08-05,30.3048,30.5568,30.1398,30.4178,2526957,SYY
2013-08-06,30.4873,30.6263,30.3396,30.4612,3559704,SYY
2013-08-07,30.3657,30.8435,30.244,30.2788,1850764,SYY
2013-08-08,30.3917,30.4439,30.0963,30.2875,4888962,SYY
2013-08-09,30.2788,30.5351,30.0442,30.4178,4379823,SYY
2013-08-12,29.9573,29.9573,28.4629,28.6628,14260019,SYY
2013-08-13,28.7236,28.88,28.4803,28.767,4748647,SYY
2013-08-14,28.6888,28.8061,28.5759,28.6975,3095475,SYY
2013-08-15,28.4716,28.5324,28.0372,28.2197,4869300,SYY
2013-08-16,28.1154,28.3847,27.9764,28.1936,3443212,SYY
2013-08-19,28.1241,28.376,28.1241,28.237,2671815,SYY
2013-08-20,28.2283,28.4455,28.1675,28.1762,2980050,SYY
2013-08-21,28.1588,28.1936,27.7592,27.7852,3189841,SYY
2013-08-22,27.8287,28.1328,27.5941,28.0459,3369836,SYY
2013-08-23,28.0633,28.1067,27.8721,28.0198,2897835,SYY
2013-08-26,28.0633,28.0633,27.6375,27.707,2438595,SYY
2013-08-27,27.5333,27.7331,27.3682,27.5767,2717429,SYY
2013-08-28,27.5159,27.568,27.2552,27.3421,3788952,SYY
2013-08-29,27.3421,27.8895,27.29,27.7592,4019367,SYY
2013-08-30,27.8982,27.9503,27.7331,27.82,4155668,SYY
2013-09-03,28.0285,28.0719,27.82,27.959,4150043,SYY
2013-09-04,27.9851,28.0459,27.8721,27.9242,3772276,SYY
2013-09-05,27.8808,28.0024,27.7679,27.8895,2912668,SYY
2013-09-06,27.9851,28.0111,27.707,27.8374,3303166,SYY
2013-09-09,27.8982,28.0111,27.8319,27.9938,2425181,SYY
2013-09-10,28.098,28.2805,27.8895,28.0024,2923162,SYY
2013-09-11,28.0285,28.2805,28.0024,28.2457,2996875,SYY
2013-09-12,28.2457,28.4238,28.2197,28.3587,3604589,SYY
2013-09-13,28.4108,28.628,28.2805,28.5672,2535404,SYY
2013-09-16,28.7323,28.9234,28.6193,28.6801,3166068,SYY
2013-09-17,28.6714,28.8713,28.628,28.8191,2399915,SYY
2013-09-18,28.8105,29.0537,28.6106,29.0103,2763527,SYY
2013-09-19,28.8973,28.9147,28.3196,28.5237,5983150,SYY
2013-09-20,28.4716,28.5151,28.1154,28.2978,17665248,SYY
2013-09-23,28.237,28.3586,28.0198,28.0719,10983580,SYY
2013-09-24,28.0633,28.3152,28.0111,28.1501,10655856,SYY
2013-09-25,28.1241,28.3152,27.7679,27.8113,3983597,SYY
2013-09-26,27.8547,28.1067,27.8026,27.9069,2583239,SYY
2013-09-27,27.8026,27.9069,27.707,27.8287,1947240,SYY
2013-09-30,27.6636,27.8721,27.6028,27.6549,3570785,SYY
2013-10-01,27.6115,27.9242,27.568,27.707,4363477,SYY
2013-10-02,27.6983,27.7859,27.3126,27.7596,3706716,SYY
2013-10-03,27.7333,27.7701,27.4485,27.6632,3750977,SYY
2013-10-04,27.6019,27.8648,27.5668,27.8035,2191801,SYY
2013-10-07,27.7158,27.8385,27.6194,27.7246,2559501,SYY
2013-10-08,27.8473,27.8473,27.2863,27.3126,2751904,SYY
2013-10-09,27.3214,27.8692,27.2863,27.7421,3854795,SYY
2013-10-10,27.97,28.4214,27.9174,28.3031,4437680,SYY
2013-10-11,28.1541,28.2417,28.0138,28.2417,2480440,SYY
2013-10-14,28.1015,28.2241,28.0094,28.1453,2518412,SYY
2013-10-15,28.1365,28.1804,27.8925,27.9262,2495059,SYY
2013-10-16,28.0664,28.268,28.0138,28.1278,2808063,SYY
2013-10-17,28.0752,28.2373,28.0664,28.1365,4623592,SYY
2013-10-18,28.2855,28.3381,28.0839,28.1102,7347113,SYY
2013-10-21,28.1716,28.268,27.9612,28.2154,2633383,SYY
2013-10-22,28.3118,28.8246,28.233,28.6011,4542407,SYY
2013-10-23,28.5836,28.7589,28.4608,28.531,2382525,SYY
2013-10-24,28.6887,28.829,28.5748,28.7764,2187905,SYY
2013-10-25,28.7501,28.9166,28.6449,28.9166,1816443,SYY
2013-10-28,28.8641,29.39,28.8641,29.127,3571595,SYY
2013-10-29,29.127,29.127,28.7238,28.7852,3829076,SYY
2013-10-30,28.7501,28.7764,28.4521,28.4784,5489895,SYY
2013-10-31,28.5573,28.5923,28.3469,28.3469,3756638,SYY
2013-11-01,28.3469,28.5748,28.1453,28.5397,6858744,SYY
2013-11-04,29.8458,30.4506,29.5565,29.7669,8506641,SYY
2013-11-05,29.7406,29.7493,29.1971,29.1971,4506099,SYY
2013-11-06,29.2673,29.5127,29.1884,29.5039,2511391,SYY
2013-11-07,29.4513,29.5565,28.9868,29.0481,4012086,SYY
2013-11-08,29.0306,29.0481,28.7501,29.0394,2955618,SYY
2013-11-11,28.8027,29.1445,28.7939,29.0043,1679001,SYY
2013-11-12,28.9692,29.0569,28.8991,29.0569,1914665,SYY
